GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach
1,10182024021722655,-0.7482877,2.501588,-3.755856,-0.7466956,2.367375,-3.72581,-0.7429941,1.949026,-3.646755,-0.7395539,1.37133,-3.553124,-0.7466956,2.367375,-3.72581,-0.7466956,2.367375,-3.72581,-0.7395539,1.37133,-3.553124,-0.7395539,1.37133,-3.553124,-0.4476795,2.285766,-3.709474,-0.3496811,1.910059,-3.597275,-0.4948526,1.834962,-3.885943,-0.6207019,1.806669,-4.056425,-0.4948526,1.834962,-3.885943,-1.066175,2.284715,-3.713663,-1.133061,1.860185,-3.673935,-1.162084,1.437752,-3.685963,-1.176397,1.180225,-3.684453,-1.162084,1.437752,-3.685963,-0.6235858,1.387021,-3.612131,-0.5432175,0.6321977,-3.500488,-0.4720135,-0.03932011,-3.403819,-0.8573533,1.378223,-3.619752,-0.9215261,0.6179603,-3.512821,-0.9836181,-0.05857408,-3.420498,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,179.7785864,179.5207821,82.11171247,171.4615593,-0.80314841,-0.82240238,1.591557247
2,10182024021724238,-0.7811368,2.967083,-6.27981,-0.7799417,2.833516,-6.244226,-0.7761767,2.418129,-6.152713,-0.7698548,1.84466,-6.057817,-0.7799417,2.833516,-6.244226,-0.7799417,2.833516,-6.244226,-0.7698548,1.84466,-6.057817,-0.7698548,1.84466,-6.057817,-0.4668783,2.773458,-6.202125,-0.3770983,2.376606,-6.100506,-0.5271227,2.302883,-6.37541,-0.6530862,2.271964,-6.561689,-0.5271227,2.302883,-6.37541,-1.101986,2.756789,-6.240016,-1.161949,2.336009,-6.178555,-1.193504,1.910167,-6.190502,-1.190649,1.659197,-6.205637,-1.193504,1.910167,-6.190502,-0.654042,1.858897,-6.117709,-0.5577906,1.07311,-6.042494,-0.4859331,0.4227247,-5.915819,-0.8876044,1.851386,-6.123872,-0.9578625,1.060243,-6.05305,-1.016322,0.4056673,-5.929813,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,174.4302867,174.4744162,84.83473809,169.4381708,-0.3411036,-0.358161,1.601223291
3,10182024021724586,-0.779285,2.96897,-6.286662,-0.7782943,2.835051,-6.252195,-0.7752329,2.418426,-6.164058,-0.7696647,1.843835,-6.071215,-0.7782943,2.835051,-6.252195,-0.7782943,2.835051,-6.252195,-0.7696647,1.843835,-6.071215,-0.7696647,1.843835,-6.071215,-0.4671739,2.770305,-6.210506,-0.3756068,2.372162,-6.116207,-0.5253229,2.298704,-6.389635,-0.6587619,2.281101,-6.573,-0.5253229,2.298704,-6.389635,-1.104281,2.75637,-6.24602,-1.161475,2.335038,-6.184675,-1.192764,1.909517,-6.195279,-1.189791,1.657435,-6.208515,-1.192764,1.909517,-6.195279,-0.653853,1.858075,-6.132591,-0.563757,1.078357,-6.062453,-0.4921058,0.4183433,-5.942651,-0.8874089,1.850662,-6.135906,-0.9565082,1.06589,-6.068027,-1.015739,0.401722,-5.950082,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,174.8621616,174.8933617,85.62387783,169.7455515,-0.345485,-0.3621063,1.60240029
4,10182024021724912,-0.7779982,2.972154,-6.291228,-0.777162,2.83781,-6.257288,-0.7746258,2.419874,-6.170773,-0.7699225,1.843878,-6.079316,-0.777162,2.83781,-6.257288,-0.777162,2.83781,-6.257288,-0.7699225,1.843878,-6.079316,-0.7699225,1.843878,-6.079316,-0.467772,2.768764,-6.216257,-0.3753329,2.369713,-6.125202,-0.5327412,2.279042,-6.412749,-0.6625462,2.285857,-6.57753,-0.5327412,2.279042,-6.412749,-1.104961,2.755929,-6.250175,-1.161152,2.334407,-6.188725,-1.192497,1.909117,-6.198097,-1.189673,1.655899,-6.210264,-1.192497,1.909117,-6.198097,-0.6540794,1.858106,-6.141304,-0.5684528,1.080388,-6.071037,-0.4983085,0.4165249,-5.953594,-0.8876848,1.850768,-6.143354,-0.9560126,1.068215,-6.074439,-1.015553,0.4002781,-5.958134,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,175.1475348,175.173268,88.17269664,169.9381942,-0.3473034,-0.3635502,1.603368816
5,10182024021725228,-0.7760209,2.977361,-6.298143,-0.7754004,2.842545,-6.264503,-0.7735639,2.423055,-6.17923,-0.7703393,1.844555,-6.089187,-0.7754004,2.842545,-6.264503,-0.7754004,2.842545,-6.264503,-0.7703393,1.844555,-6.089187,-0.7703393,1.844555,-6.089187,-0.468874,2.766392,-6.231274,-0.3755233,2.366364,-6.138469,-0.547556,2.247102,-6.445678,-0.6681579,2.288434,-6.580875,-0.547556,2.247102,-6.445678,-1.103066,2.75518,-6.256402,-1.160153,2.333678,-6.195145,-1.192199,1.908675,-6.202163,-1.189696,1.653333,-6.213309,-1.192199,1.908675,-6.202163,-0.6544822,1.858712,-6.151302,-0.573832,1.081072,-6.076563,-0.5070209,0.4149005,-5.960216,-0.8881087,1.85158,-6.153024,-0.9558851,1.069409,-6.079379,-1.015509,0.3993781,-5.963964,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,175.5982074,175.62112,91.14861474,170.2528163,-0.3489278,-0.3644502,1.605198636
6,10182024021725547,-0.7741262,2.980645,-6.306834,-0.7736591,2.845663,-6.273197,-0.7723157,2.425428,-6.188022,-0.7701548,1.845201,-6.097896,-0.7736591,2.845663,-6.273197,-0.7736591,2.845663,-6.273197,-0.7701548,1.845201,-6.097896,-0.7701548,1.845201,-6.097896,-0.4684221,2.76392,-6.245978,-0.3748866,2.362862,-6.150687,-0.5823358,2.25884,-6.524529,-0.6716118,2.291668,-6.584426,-0.5823358,2.25884,-6.524529,-1.102038,2.754997,-6.261553,-1.158947,2.333237,-6.201817,-1.19175,1.908401,-6.206669,-1.18982,1.6509,-6.217172,-1.19175,1.908401,-6.206669,-0.6543652,1.859306,-6.159868,-0.5759409,1.080776,-6.079592,-0.5116504,0.4140947,-5.963727,-0.8878797,1.852341,-6.161819,-0.9561393,1.069436,-6.082768,-1.015729,0.3990593,-5.967939,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,176.0357509,176.0604517,85.89672676,170.763337,-0.3497336,-0.364769,1.606736734
7,10182024021725901,-0.7834377,2.970939,-6.323903,-0.7830234,2.835768,-6.290924,-0.7819449,2.414766,-6.207489,-0.7808076,1.833134,-6.11887,-0.7830234,2.835768,-6.290924,-0.7830234,2.835768,-6.290924,-0.7808076,1.833134,-6.11887,-0.7808076,1.833134,-6.11887,-0.476864,2.750486,-6.266289,-0.3855869,2.34827,-6.171531,-0.5816696,2.21634,-6.485613,-0.6807467,2.282013,-6.603476,-0.5816696,2.21634,-6.485613,-1.109351,2.742294,-6.279712,-1.168785,2.320958,-6.219768,-1.20288,1.896309,-6.224051,-1.20808,1.637486,-6.227722,-1.20288,1.896309,-6.224051,-0.6649986,1.847242,-6.180902,-0.5907394,1.067242,-6.098347,-0.5302634,0.4007716,-5.983081,-0.8982598,1.840307,-6.182682,-0.9655767,1.056097,-6.101207,-1.023741,0.3860989,-5.986845,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,176.2334411,176.2585937,91.86196686,170.746626,-0.3630567,-0.3777294,1.607331809
8,10182024021726194,-0.879661,2.974086,-6.261148,-0.8791503,2.839965,-6.221719,-0.8775051,2.422924,-6.117111,-0.87389,1.848658,-5.993359,-0.8791503,2.839965,-6.221719,-0.8791503,2.839965,-6.221719,-0.87389,1.848658,-5.993359,-0.87389,1.848658,-5.993359,-0.5776792,2.770981,-6.176243,-0.5044097,2.382422,-6.02888,-0.6174245,2.271893,-6.434438,-0.6969347,2.237949,-6.505374,-0.6174245,2.271893,-6.434438,-1.178772,2.741514,-6.23115,-1.267985,2.328949,-6.148711,-1.332143,1.909896,-6.120907,-1.376103,1.726084,-6.094145,-1.332143,1.909896,-6.120907,-0.7567065,1.867029,-6.040976,-0.666432,1.084472,-6.000345,-0.7460994,0.414201,-5.904747,-0.9880109,1.850216,-6.07163,-1.016132,1.059052,-6.04669,-0.9180969,0.4016984,-5.927542,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,165.7598603,166.6172845,82.14644935,171.920266,-0.3496273,-0.3621299,1.605667534
9,10182024021726531,-0.8937458,3.004376,-6.01405,-0.8899252,2.870198,-5.974938,-0.8777815,2.453821,-5.873519,-0.8608558,1.88033,-5.758132,-0.8899252,2.870198,-5.974938,-0.8899252,2.870198,-5.974938,-0.8608558,1.88033,-5.758132,-0.8608558,1.88033,-5.758132,-0.5802737,2.803529,-5.931686,-0.4895101,2.419282,-5.794028,-0.5243365,2.186656,-6.135087,-0.5930439,2.149616,-6.273998,-0.5243365,2.186656,-6.135087,-1.194454,2.767821,-5.977638,-1.29712,2.392557,-5.815094,-1.40571,2.003425,-5.698775,-1.44197,1.859208,-5.632682,-1.40571,2.003425,-5.698775,-0.7443255,1.894394,-5.812069,-0.5977685,1.111204,-5.86057,-0.5728509,0.4322145,-5.790584,-0.9756793,1.883189,-5.830806,-1.032789,1.090135,-5.895802,-1.006778,0.4111984,-5.825727,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,167.3626194,167.7001651,103.1039654,173.3815987,-0.3316138,-0.3526299,1.616718089
10,10182024021726891,-0.8032547,3.020424,-5.751658,-0.7987136,2.889822,-5.703952,-0.7851092,2.486032,-5.576537,-0.7671536,1.9322,-5.425051,-0.7987136,2.889822,-5.703952,-0.7987136,2.889822,-5.703952,-0.7671536,1.9322,-5.425051,-0.7671536,1.9322,-5.425051,-0.4914412,2.824969,-5.669733,-0.3623146,2.446587,-5.534874,-0.3674953,2.075536,-5.640329,-0.3777606,1.950844,-5.688492,-0.3674953,2.075536,-5.640329,-1.105255,2.807348,-5.691662,-1.185249,2.434937,-5.519569,-1.26304,2.065406,-5.346671,-1.29108,1.924247,-5.252011,-1.26304,2.065406,-5.346671,-0.6512142,1.935081,-5.484936,-0.5860909,1.200037,-5.608772,-0.4527809,0.421768,-5.706879,-0.8852388,1.942433,-5.492009,-0.891822,1.209642,-5.618012,-0.9674145,0.4379368,-5.722433,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,174.7844246,174.5628472,140.448207,179.6418469,-0.3420603,-0.3258915,1.674441072
11,10182024021727203,-0.8272259,3.076966,-5.568554,-0.824993,2.945552,-5.520407,-0.8180925,2.539497,-5.39179,-0.8086987,1.982624,-5.238713,-0.824993,2.945552,-5.520407,-0.824993,2.945552,-5.520407,-0.8086987,1.982624,-5.238713,-0.8086987,1.982624,-5.238713,-0.5160805,2.887271,-5.472345,-0.4103303,2.515857,-5.314576,-0.3586532,2.073484,-5.268219,-0.354605,1.907069,-5.251982,-0.3586532,2.073484,-5.268219,-1.118472,2.863623,-5.518952,-1.196376,2.486971,-5.355701,-1.269315,2.10827,-5.198965,-1.310346,1.966198,-5.108392,-1.269315,2.10827,-5.198965,-0.6945193,1.985226,-5.293205,-0.5053694,1.175151,-5.230615,-0.442472,0.5335817,-4.884211,-0.9227574,1.990557,-5.311334,-1.055229,1.187996,-5.27429,-1.117591,0.5493519,-4.937835,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,154.9997908,154.6767677,161.4384643,178.8595038,-0.2302466,-0.2144764,1.692580719
12,10182024021727534,-1.024219,3.128722,-5.405252,-1.020165,2.994899,-5.352684,-1.010206,2.582946,-5.210991,-1.002266,2.019016,-5.036427,-1.020165,2.994899,-5.352684,-1.020165,2.994899,-5.352684,-1.002266,2.019016,-5.036427,-1.002266,2.019016,-5.036427,-0.7115225,2.950458,-5.256143,-0.6315802,2.55831,-5.124109,-0.5425377,2.132682,-5.061455,-0.5141737,1.937371,-4.989964,-0.5425377,2.132682,-5.061455,-1.305907,2.897969,-5.365803,-1.392723,2.518133,-5.2121,-1.461614,2.131128,-5.071289,-1.518396,1.931184,-4.979208,-1.461614,2.131128,-5.071289,-0.8857514,2.02273,-5.078596,-0.7507976,1.133573,-4.884003,-0.7675532,0.5527596,-4.660593,-1.111999,2.024338,-5.121243,-1.175261,1.136591,-4.964013,-1.157709,0.5555332,-4.734136,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,166.7844178,167.168557,169.936768,176.8241188,-0.2110687,-0.2082951,1.6676963
13,10182024021727890,-1.118412,3.164232,-5.311547,-1.11323,3.032483,-5.257663,-1.098258,2.623839,-5.105215,-1.080099,2.06097,-4.906823,-1.11323,3.032483,-5.257663,-1.11323,3.032483,-5.257663,-1.080099,2.06097,-4.906823,-1.080099,2.06097,-4.906823,-0.8118834,2.991307,-5.138679,-0.7286742,2.604733,-4.995337,-0.6312923,2.191362,-4.917575,-0.6124706,2.013629,-4.831564,-0.6312923,2.191362,-4.917575,-1.408647,2.91767,-5.26746,-1.492852,2.546578,-5.09527,-1.562584,2.177082,-4.928362,-1.57943,2.046896,-4.839257,-1.562584,2.177082,-4.928362,-0.9634966,2.075124,-4.943336,-0.7812327,1.181367,-4.760876,-0.7610615,0.5717773,-4.592772,-1.187939,2.054698,-4.997089,-1.217472,1.141665,-4.865356,-1.177925,0.5338395,-4.692612,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,169.7756402,170.6264077,170.3910672,178.0424291,-0.192051,-0.2299888,1.696864058
14,10182024021728214,-1.064449,3.193237,-5.201732,-1.062332,3.06007,-5.142952,-1.052006,2.651442,-4.981804,-1.034786,2.090488,-4.774342,-1.062332,3.06007,-5.142952,-1.062332,3.06007,-5.142952,-1.034786,2.090488,-4.774342,-1.034786,2.090488,-4.774342,-0.7562548,3.006958,-5.030028,-0.6754977,2.62619,-4.875417,-0.6010268,2.218995,-4.791318,-0.5937967,2.058906,-4.708128,-0.6010268,2.218995,-4.791318,-1.352471,2.946141,-5.134786,-1.436397,2.577805,-4.96019,-1.506397,2.224717,-4.792013,-1.513946,2.088597,-4.721938,-1.506397,2.224717,-4.792013,-0.9189627,2.099112,-4.81609,-0.70173,1.194137,-4.714252,-0.6342187,0.5535092,-4.562763,-1.144084,2.088044,-4.859834,-1.197209,1.169777,-4.810532,-1.192643,0.5260544,-4.671273,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,169.8435904,170.1482769,169.7044096,178.509755,-0.2103191,-0.2377739,1.721404984
15,10182024021728511,-0.9437486,3.218357,-5.077795,-0.9495418,3.088492,-5.014847,-0.9633132,2.687403,-4.837589,-0.9786907,2.136504,-4.608879,-0.9495418,3.088492,-5.014847,-0.9495418,3.088492,-5.014847,-0.9786907,2.136504,-4.608879,-0.9786907,2.136504,-4.608879,-0.6509621,3.022239,-4.935826,-0.5655133,2.65718,-4.752518,-0.5073433,2.261275,-4.629559,-0.4813367,2.09196,-4.538361,-0.5073433,2.261275,-4.629559,-1.241626,2.981299,-4.996376,-1.335395,2.611311,-4.829832,-1.428304,2.239836,-4.680168,-1.451556,2.100886,-4.593774,-1.428304,2.239836,-4.680168,-0.8617594,2.134608,-4.660182,-0.7840036,1.20858,-4.678258,-0.7783355,0.5495396,-4.556841,-1.091066,2.14285,-4.684663,-1.141802,1.221441,-4.716456,-1.157247,0.563159,-4.597294,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,167.6781485,167.637341,169.9739758,177.7684792,-0.2142887,-0.2006693,1.728200673
16,10182024021728849,-0.9803752,3.18514,-4.728325,-0.9834217,3.055862,-4.689613,-0.9914712,2.662601,-4.591244,-0.9992057,2.13074,-4.453014,-0.9834217,3.055862,-4.689613,-0.9834217,3.055862,-4.689613,-0.9992057,2.13074,-4.453014,-0.9992057,2.13074,-4.453014,-0.6798849,2.982568,-4.621819,-0.6010671,2.602603,-4.473042,-0.5408704,2.196312,-4.419237,-0.5325367,2.060407,-4.42928,-0.5408704,2.196312,-4.419237,-1.282249,2.983361,-4.692582,-1.377935,2.607039,-4.543022,-1.454952,2.208237,-4.471872,-1.476232,2.070052,-4.44021,-1.454952,2.208237,-4.471872,-0.8733164,2.130496,-4.504873,-0.7440057,1.289255,-4.7837,-0.7995767,0.5574226,-4.5614,-1.119797,2.135214,-4.528325,-1.178648,1.297573,-4.825054,-1.150696,0.5641425,-4.594809,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,142.7171644,142.6215732,166.1172989,168.4175353,-0.2064057,-0.1996858,1.802068009
17,10182024021729171,-1.009315,3.12464,-4.475505,-1.010754,2.99522,-4.461362,-1.015694,2.60603,-4.437989,-1.022965,2.080211,-4.389273,-1.010754,2.99522,-4.461362,-1.010754,2.99522,-4.461362,-1.022965,2.080211,-4.389273,-1.022965,2.080211,-4.389273,-0.7136226,2.923773,-4.360213,-0.6155809,2.528785,-4.294945,-0.5366114,2.121797,-4.291975,-0.5415694,2.044243,-4.357403,-0.5366114,2.121797,-4.291975,-1.325872,2.929735,-4.410453,-1.394876,2.531487,-4.331466,-1.479295,2.119357,-4.289775,-1.519166,1.981692,-4.337584,-1.479295,2.119357,-4.289775,-0.889636,2.079729,-4.44035,-0.7569245,1.353194,-4.915262,-0.8479301,0.6073527,-4.712738,-1.150167,2.086591,-4.465169,-1.194471,1.36472,-4.956945,-1.150203,0.6153147,-4.741534,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,129.3899542,129.3480076,170.8140929,174.3325222,-0.1564756,-0.1485136,1.80385447
18,10182024021729498,-1.028545,3.138083,-4.387183,-1.031432,3.006243,-4.35988,-1.035492,2.628348,-4.263373,-1.00392,2.112089,-4.062162,-1.031432,3.006243,-4.35988,-1.031432,3.006243,-4.35988,-1.00392,2.112089,-4.062162,-1.00392,2.112089,-4.062162,-0.7274076,2.912823,-4.249317,-0.6177707,2.506238,-4.224935,-0.5358385,2.093504,-4.266449,-0.5443929,2.031346,-4.326168,-0.5358385,2.093504,-4.266449,-1.342788,2.919427,-4.276066,-1.403661,2.506742,-4.229736,-1.487473,2.091905,-4.232369,-1.52037,1.972488,-4.305517,-1.487473,2.091905,-4.232369,-0.861766,2.119989,-4.119632,-0.7118762,1.947679,-4.926406,-0.7165882,1.193951,-4.652827,-1.1415,2.108059,-4.132298,-1.211982,1.92635,-4.949049,-1.114219,1.176992,-4.670831,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,0,0,82.17409199,81.67023131,170.2554084,172.6541807,0.4301227,0.4131637,1.799456795
19,10182024021729858,-1.032715,3.15184,-4.399704,-1.031669,3.021711,-4.338037,-1.020612,2.642265,-4.173845,-0.9822395,2.131204,-3.925128,-1.031669,3.021711,-4.338037,-1.031669,3.021711,-4.338037,-0.9822395,2.131204,-3.925128,-0.9822395,2.131204,-3.925128,-0.7339923,2.925495,-4.247947,-0.6162335,2.512503,-4.230171,-0.5490985,2.093298,-4.287838,-0.5487359,2.024145,-4.32153,-0.5490985,2.093298,-4.287838,-1.344104,2.926196,-4.269968,-1.412983,2.509643,-4.203888,-1.474269,2.089641,-4.247605,-1.492264,1.986469,-4.305491,-1.474269,2.089641,-4.247605,-0.8374276,2.143422,-3.986055,-0.7110225,1.989146,-4.758009,-0.6769162,1.202979,-4.596628,-1.122352,2.122582,-3.990866,-1.205771,1.952959,-4.766364,-1.116446,1.170831,-4.604052,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,0,0,90.09117805,89.94131433,167.8197474,165.1845487,0.4391507,0.4070027,1.758168717
20,10182024021730186,-1.025547,3.14361,-4.30221,-1.023831,3.020045,-4.249819,-1.013794,2.647948,-4.107696,-1.000095,2.141499,-3.903842,-1.023831,3.020045,-4.249819,-1.023831,3.020045,-4.249819,-1.000095,2.141499,-3.903842,-1.000095,2.141499,-3.903842,-0.7382145,2.936551,-4.235281,-0.625815,2.522512,-4.235912,-0.5668633,2.104601,-4.310386,-0.5530385,2.008953,-4.380464,-0.5668633,2.104601,-4.310386,-1.339329,2.939663,-4.25868,-1.410389,2.524879,-4.20411,-1.463741,2.101439,-4.254033,-1.483939,1.996312,-4.311354,-1.463741,2.101439,-4.254033,-0.8553278,2.15036,-3.962158,-0.6900551,1.932897,-4.69069,-0.7026877,1.140433,-4.51987,-1.140359,2.136621,-3.97329,-1.225586,1.907084,-4.711605,-1.158251,1.118475,-4.537662,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,0,0,94.16321696,94.26251187,167.785771,165.7132359,0.3766047,0.3546467,1.745138256
21,10182024021730514,-1.018455,3.168288,-4.25301,-1.019109,3.041022,-4.208489,-1.014386,2.656616,-4.08095,-1.017057,2.144896,-3.926533,-1.019109,3.041022,-4.208489,-1.019109,3.041022,-4.208489,-1.017057,2.144896,-3.926533,-1.017057,2.144896,-3.926533,-0.7355669,2.949364,-4.218678,-0.6310139,2.531387,-4.233321,-0.557503,2.131932,-4.313516,-0.542211,2.037296,-4.361861,-0.557503,2.131932,-4.313516,-1.335192,2.948221,-4.250017,-1.4101,2.533477,-4.203878,-1.462568,2.110478,-4.256933,-1.485255,2.003781,-4.312427,-1.462568,2.110478,-4.256933,-0.8725063,2.150736,-3.980034,-0.6614894,1.876305,-4.676253,-0.6784667,1.074389,-4.538257,-1.156607,2.143102,-4.001629,-1.24117,1.860729,-4.720316,-1.216496,1.059932,-4.579153,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0,100.9690884,101.185446,170.1037332,166.2880809,0.3105607,0.2961037,1.748786914
